779,309,235,225,82
781,310,235,234,87
783,310,234,221,83
784,309,236,223,85
785,311,238,225,84
786,312,239,232,86
787,313,239,227,87
788,312,241,229,89
789,311,242,236,92
790,313,242,234,94
791,313,242,238,94
792,312,242,233,97
793,313,243,244,96
794,312,246,243,100
795,310,247,249,100
796,308,250,259,110
797,308,251,269,112
798,310,254,279,113
799,311,257,285,118
800,312,259,295,126
801,310,259,282,130
802,313,260,289,131
808,315,278,334,143
809,317,282,353,136
810,316,283,342,136
811,316,284,351,146
813,316,285,328,153
814,315,287,351,155
815,315,289,356,145
816,317,291,361,154
817,316,293,374,155
818,316,295,387,170
819,314,301,394,158
820,312,305,395,154
824,317,319,357,208
826,317,325,368,229
827,316,327,425,239
828,319,328,421,245
829,319,333,414,241
830,321,334,426,245
1070,156,227,139,42
1071,156,227,142,42
1072,158,229,155,48
1073,160,232,167,45
1074,160,233,180,43
1080,153,243,226,71
1081,155,243,222,76
1082,154,243,223,80
1083,153,244,218,79
1084,153,243,226,80
1085,154,244,225,82
1086,155,245,226,82
1087,162,246,229,78
1088,163,248,233,79
1089,166,249,236,81
1090,165,250,235,82
1091,168,250,239,85
1092,173,249,239,92
1093,174,250,242,94
1094,173,250,239,92
1095,172,251,238,92
1096,174,252,238,95
1097,176,254,244,100
1098,181,256,248,99
1099,181,259,255,103
1100,181,260,249,103
1101,182,260,260,107
1102,183,267,266,115
1103,183,267,278,120
1104,186,270,285,127
1105,186,271,279,129
1106,185,271,278,134
1107,185,273,273,132
1108,185,273,271,134
1109,182,275,274,139
1110,185,276,302,148
1111,184,279,297,161
1112,181,281,290,167
1113,179,286,383,164
1114,177,286,379,163
1115,178,287,374,166
1116,178,289,372,176
1117,177,292,363,175
1118,181,292,389,182
1119,181,294,385,184
1120,205,298,359,184
1121,207,301,357,185
1122,214,306,402,209
1123,216,309,427,204
1124,213,321,352,206
1125,214,323,391,225
1126,218,325,414,233
1127,223,330,406,259
1128,229,337,386,258
1461,432,242,192,83
1466,430,249,182,101
1467,428,250,192,111
